Team,Gms,Tot Pts,Pts/G,RushYds,RYds/G,PassYds,PYds/G,TotYds,Yds/G
Green Bay Packers,16,509,31.8,2118,132.4,4106,256.6,6224,389
Buffalo Bills,16,501,31.3,1723,107.7,4620,288.8,6343,396.4
Tampa Bay Buccaneers,16,492,30.8,1519,94.9,4626,289.1,6145,384.1
Tennessee Titans,16,491,30.7,2690,168.1,3653,228.3,6343,396.4
New Orleans Saints,16,482,30.1,2265,141.6,3758,234.9,6023,376.4
Kansas City Chiefs,16,473,29.6,1799,112.4,4854,303.4,6653,415.8
Baltimore Ravens,16,468,29.2,3071,191.9,2739,171.2,5810,363.1
Seattle Seahawks,16,459,28.7,1971,123.2,3941,246.3,5912,369.5
Indianapolis Colts,16,451,28.2,1996,124.8,4053,253.3,6049,378.1
Las Vegas Raiders,16,434,27.1,1916,119.8,4217,263.6,6133,383.3
Minnesota Vikings,16,430,26.9,2283,142.7,4009,250.6,6292,393.2
Pittsburgh Steelers,16,416,26,1351,84.4,4003,250.2,5354,334.6
Arizona Cardinals,16,410,25.6,2237,139.8,3916,244.8,6153,384.6
Cleveland Browns,16,408,25.5,2374,148.4,3539,221.2,5913,369.6
Miami Dolphins,16,404,25.2,1688,105.5,3736,233.5,5424,339
Atlanta Falcons,16,396,24.8,1532,95.8,4363,272.7,5895,368.4
Dallas Cowboys,16,395,24.7,1788,111.8,4161,260.1,5949,371.8
Houston Texans,16,384,24,1466,91.6,4538,283.6,6004,375.2
Los Angeles Chargers,16,384,24,1784,111.5,4329,270.6,6113,382.1
Detroit Lions,16,377,23.6,1499,93.7,4104,256.5,5603,350.2
San Francisco 49ers,16,376,23.5,1889,118.1,4033,252.1,5922,370.1
Chicago Bears,16,372,23.2,1647,102.9,3655,228.4,5302,331.4
Los Angeles Rams,16,372,23.2,2018,126.1,4014,250.9,6032,377
Carolina Panthers,16,350,21.9,1704,106.5,3888,243,5592,349.5
Washington Football Team,16,335,20.9,1611,100.7,3465,216.6,5076,317.2
Philadelphia Eagles,16,334,20.9,2027,126.7,3327,207.9,5354,334.6
New England Patriots,16,326,20.4,2346,146.6,2890,180.6,5236,327.2
Denver Broncos,16,323,20.2,1918,119.9,3451,215.7,5369,335.6
Cincinnati Bengals,16,311,19.4,1668,104.2,3448,215.5,5116,319.8
Jacksonville Jaguars,16,306,19.1,1519,94.9,3699,231.2,5218,326.1
New York Giants,16,280,17.5,1768,110.5,3026,189.1,4794,299.6
New York Jets,16,243,15.2,1683,105.2,2796,174.8,4479,279.9
